G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
37,"Thu, Mar 4, 2021",7:30p,,Box Score,,Detroit Pistons,W,,114,104,19,18,W 1,
38,"Thu, Mar 11, 2021",8:00p,,Box Score,@,Milwaukee Bucks,L,,101,134,19,19,L 1,
39,"Sat, Mar 13, 2021",2:00p,,Box Score,@,Oklahoma City Thunder,W,,119,97,20,19,W 1,
40,"Mon, Mar 15, 2021",8:00p,,Box Score,@,Brooklyn Nets,L,,112,117,20,20,L 1,
41,"Tue, Mar 16, 2021",8:00p,,Box Score,@,Philadelphia 76ers,L,,96,99,20,21,L 2,
42,"Thu, Mar 18, 2021",7:30p,,Box Score,,Orlando Magic,W,,94,93,21,21,W 1,
43,"Sun, Mar 21, 2021",8:00p,,Box Score,,Philadelphia 76ers,L,OT,100,101,21,22,L 1,
44,"Tue, Mar 23, 2021",7:30p,,Box Score,,Washington Wizards,W,,131,113,22,22,W 1,
45,"Thu, Mar 25, 2021",7:30p,,Box Score,,Washington Wizards,W,,106,102,23,22,W 2,
46,"Sat, Mar 27, 2021",8:00p,,Box Score,@,Milwaukee Bucks,W,,102,96,24,22,W 3,
47,"Mon, Mar 29, 2021",7:30p,,Box Score,,Miami Heat,L,,88,98,24,23,L 1,
48,"Wed, Mar 31, 2021",8:00p,,Box Score,@,Minnesota Timberwolves,L,,101,102,24,24,L 2,
49,"Fri, Apr 2, 2021",7:30p,,Box Score,,Dallas Mavericks,L,,86,99,24,25,L 3,
50,"Sat, Apr 3, 2021",8:00p,,Box Score,@,Detroit Pistons,W,,125,81,25,25,W 1,
51,"Mon, Apr 5, 2021",7:00p,,Box Score,@,Brooklyn Nets,L,,112,114,25,26,L 1,
52,"Wed, Apr 7, 2021",7:30p,,Box Score,@,Boston Celtics,L,,99,101,25,27,L 2,
53,"Fri, Apr 9, 2021",7:30p,,Box Score,,Memphis Grizzlies,W,OT,133,129,26,27,W 1,
54,"Sun, Apr 11, 2021",8:00p,,Box Score,,Toronto Raptors,W,,102,96,27,27,W 2,
55,"Mon, Apr 12, 2021",7:30p,,Box Score,,Los Angeles Lakers,W,,111,96,28,27,W 3,
56,"Wed, Apr 14, 2021",8:00p,,Box Score,@,New Orleans Pelicans,W,,116,106,29,27,W 4,
57,"Fri, Apr 16, 2021",9:30p,,Box Score,@,Dallas Mavericks,W,,117,109,30,27,W 5,
58,"Sun, Apr 18, 2021",1:00p,,Box Score,,New Orleans Pelicans,W,OT,122,112,31,27,W 6,
59,"Tue, Apr 20, 2021",7:30p,,Box Score,,Charlotte Hornets,W,,109,97,32,27,W 7,
60,"Wed, Apr 21, 2021",8:00p,,Box Score,,Atlanta Hawks,W,OT,137,127,33,27,W 8,
61,"Sat, Apr 24, 2021",1:00p,,Box Score,,Toronto Raptors,W,,120,103,34,27,W 9,
62,"Mon, Apr 26, 2021",7:30p,,Box Score,,Phoenix Suns,L,,110,118,34,28,L 1,
63,"Wed, Apr 28, 2021",7:30p,,Box Score,,Chicago Bulls,W,,113,94,35,28,W 1,
64,"Sun, May 2, 2021",8:00p,,Box Score,@,Houston Rockets,W,,122,97,36,28,W 2,
65,"Mon, May 3, 2021",9:00p,,Box Score,@,Memphis Grizzlies,W,,118,104,37,28,W 3,
66,"Wed, May 5, 2021",9:00p,,Box Score,@,Denver Nuggets,L,,97,113,37,29,L 1,
67,"Fri, May 7, 2021",10:00p,,Box Score,@,Phoenix Suns,L,,105,128,37,30,L 2,
68,"Sun, May 9, 2021",3:30p,,Box Score,@,Los Angeles Clippers,W,,106,100,38,30,W 1,
69,"Tue, May 11, 2021",10:00p,,Box Score,@,Los Angeles Lakers,L,OT,99,101,38,31,L 1,
70,"Thu, May 13, 2021",7:30p,,Box Score,,San Antonio Spurs,W,,102,98,39,31,W 1,
71,"Sat, May 15, 2021",1:00p,,Box Score,,Charlotte Hornets,W,OT,118,109,40,31,W 2,
72,"Sun, May 16, 2021",1:00p,,Box Score,,Boston Celtics,W,,96,92,41,31,W 3,
