player_id,player_name
Anthony Goldwire,Anthony
Anthony Johnson,Anthony
Anthony Mason,Anthony
Anthony Miller,Anthony
Anthony Parker,Anthony
Anthony Peeler,Anthony
Antoine Carr,Antoine
Antoine Walker,Antoine
Antonio Daniels,Antonio
Antonio Davis,Antonio
Antonio Lang,Antonio
Antonio McDyess,Antonio
Armen Gilliam,Armen
Arvydas Sabonis,Arvydas
Austin Croshere,Austin
Avery Johnson,Avery
B.J. Armstrong,B.J.
Ben Davis,Ben
Ben Wallace,Ben
Benoit Benjamin,Benoit
Bill Curley,Bill
Bill Wennington,Bill
Billy Owens,Billy
Bimbo Coles,Bimbo
Bison Dele,Bison
Blue Edwards,Blue
Bo Outlaw,Bo
Bob McCann,Bob
Bob Sura,Bob
Bobby Hurley,Bobby
Bobby Jackson,Bobby
Bobby Phills,Bobby
Brad Lohaus,Brad
Brandon Williams,Brandon
Brent Barry,Brent
Brent Price,Brent
Brevin Knight,Brevin
Brian Evans,Brian
Brian Grant,Brian
Brian Oliver,Brian
Brian Shaw,Brian
Brooks Thompson,Brooks
Bruce Bowen,Bruce
Bryant Reeves,Bryant
Bryant Stith,Bryant
Bryon Russell,Bryon
Bubba Wells,Bubba
Buck Williams,Buck
Calbert Cheaney,Calbert
Carl Herrera,Carl
Carl Thomas,Carl
Carlos Rogers,Carlos
Cedric Ceballos,Cedric
Cedric Henderson,Cedric
Charles Barkley,Charles
Charles Jones,Charles
Charles O'Bannon,Charles
Charles Oakley,Charles
Charles Smith,Charles
Charlie Ward,Charlie
Chauncey Billups,Chauncey
Cherokee Parks,Cherokee
Chris Anstey,Chris
Chris Carr,Chris
Chris Childs,Chris
Chris Crawford,Chris
Chris Dudley,Chris
Chris Garner,Chris
Chris Gatling,Chris
Chris Mills,Chris
Chris Morris,Chris
Chris Mullin,Chris
Chris Robinson,Chris
Chris Webber,Chris
Chris Whitney,Chris
Christian Laettner,Christian
Chuck Person,Chuck
Chucky Brown,Chucky
Clar. Weatherspoon,Clar.
Clifford Robinson,Clifford
Clifford Rozier,Clifford
Clyde Drexler,Clyde
Corey Beck,Corey
Corie Blount,Corie
Corliss Williamson,Corliss
Cory Alexander,Cory
Dale Davis,Dale
Dale Ellis,Dale
Damon Stoudamire,Damon
Dan Majerle,Dan
Dan Schayes,Dan
Dana Barros,Dana
Danny Ferry,Danny
Danny Fortson,Danny
Danny Manning,Danny
Darrell Armstrong,Darrell
Darrick Martin,Darrick
Darvin Ham,Darvin
David Benoit,David
David Robinson,David
David Vaughn,David
David Wesley,David
David Wingate,David
DeJuan Wheat,DeJuan
Dean Garrett,Dean
Dee Brown,Dee
Dell Curry,Dell
Dennis Rodman,Dennis
Dennis Scott,Dennis
Derek Anderson,Derek
Derek Fisher,Derek
Derek Grimm,Derek
Derek Harper,Derek
Derek Strong,Derek
Derrick Coleman,Derrick
Derrick McKey,Derrick
Detlef Schrempf,Detlef
Dickey Simpkins,Dickey
Dikembe Mutombo,Dikembe
Don MacLean,Don
Don Reid,Don
Donald Royal,Donald
Donald Whiteside,Donald
Dontae' Jones,Dontae'
Dontonio Wingfield,Dontonio
Donyell Marshall,Donyell
Doug Christie,Doug
Doug Overton,Doug
Doug West,Doug
Drew Barry,Drew
Duane Causwell,Duane
Duane Ferrell,Duane
Ed Gray,Ed
Ed Stokes,Ed
Eddie Johnson,Eddie
Eddie Jones,Eddie
Elden Campbell,Elden
Eldridge Recasner,Eldridge
Elliot Perry,Elliot
Emanual Davis,Emanual
Eric Montross,Eric
Eric Murdock,Eric
Eric Piatkowski,Eric
Eric Riley,Eric
Eric Snow,Eric
Eric Washington,Eric
Eric Williams,Eric
Erick Dampier,Erick
Erick Strickland,Erick
Ervin Johnson,Ervin
Etdrick Bohannon,Etdrick
Felton Spencer,Felton
Fred Hoiberg,Fred
Gary Grant,Gary
Gary Payton,Gary
Gary Trent,Gary
George Lynch,George
George McCloud,George
George Zidek,George
Gerald Madkins,Gerald
Gerald Wilkins,Gerald
Glen Rice,Glen
Glenn Robinson,Glenn
God Shammgod,God
Grant Hill,Grant
Grant Long,Grant
Greg Anderson,Greg
Greg Anthony,Greg
Greg Foster,Greg
Greg Graham,Greg
Greg Minor,Greg
Greg Ostertag,Greg
Hakeem Olajuwon,Hakeem
Harold Ellis,Harold
Harvey Grant,Harvey
Henry James,Henry
Herb Williams,Herb
Hersey Hawkins,Hersey
Horace Grant,Horace
Horacio Llamas,Horacio
Hot Rod Williams,Hot Rod
Howard Eisley,Howard
Hubert Davis,Hubert
Ike Austin,Ike
Isaiah Rider,Isaiah
Ivano Newbill,Ivano
J.R. Reid,J.R.
Jack Haley,Jack
Jacque Vaughn,Jacque
Jalen Rose,Jalen
Jamal Mashburn,Jamal
James Collins,James
James Cotton,James
James Robinson,James
Jamie Feick,Jamie
Jaren Jackson,Jaren
Jason Caffey,Jason
Jason Kidd,Jason
Jason Lawson,Jason
Jayson Williams,Jayson
Jeff Grayer,Jeff
Jeff Hornacek,Jeff
Jeff Nordgaard,Jeff
Jerald Honeycutt,Jerald
Jermaine O'Neal,Jermaine
Jerome Kersey,Jerome
Jerome Williams,Jerome
Jerry Stackhouse,Jerry
Jim Jackson,Jim
Jim McIlvaine,Jim
Jimmy Oliver,Jimmy
Joe Dumars,Joe
Joe Kleine,Joe
Joe Smith,Joe
Joe Stephens,Joe
Joe Wolf,Joe
John Crotty,John
John Starks,John
John Stockton,John
John Thomas,John
John Wallace,John
Johnny Newman,Johnny
Johnny Taylor,Johnny
Jon Barry,Jon
Jud Buechler,Jud
Juwan Howard,Juwan
Karl Malone,Karl
Kebu Stewart,Kebu
Keith Askins,Keith
Keith Booth,Keith
Keith Closs,Keith
Keith Van Horn,Keith
Kelvin Cato,Kelvin
Kendall Gill,Kendall
Kenny Anderson,Kenny
Kerry Kittles,Kerry
Kevin Edwards,Kevin
Kevin Garnett,Kevin
Kevin Johnson,Kevin
Kevin Ollie,Kevin
Kevin Salvadori,Kevin
Kevin Willis,Kevin
Khalid Reeves,Khalid
Kiwane Garris,Kiwane
Kobe Bryant,Kobe
Kurt Thomas,Kurt
LaPhonso Ellis,LaPhonso
Lamond Murray,Lamond
Larry Johnson,Larry
Larry Robinson,Larry
Latrell Sprewell,Latrell
Lawrence Funderburke,Lawrence
Lawrence Moten,Lawrence
Ledell Eackles,Ledell
Lee Mayberry,Lee
Lindsey Hunter,Lindsey
Litterial Green,Litterial
Lloyd Daniels,Lloyd
Lorenzen Wright,Lorenzen
Lorenzo Williams,Lorenzo
Loy Vaught,Loy
Luc Longley,Luc
Lucious Harris,Lucious
Mahmoud Abdul-Rauf,Mahmoud
Malik Rose,Malik
Malik Sealy,Malik
Marcus Camby,Marcus
Mario Bennett,Mario
Mario Elie,Mario
Mark Bryant,Mark
Mark Davis,Mark
Mark Hendrickson,Mark
Mark Jackson,Mark
Mark Pope,Mark
Mark Price,Mark
Mark Strickland,Mark
Mark West,Mark
Marko Milic,Marko
Martin Muursepp,Martin
Marty Conlon,Marty
Matt Bullard,Matt
Matt Geiger,Matt
Matt Maloney,Matt
Maurice Taylor,Maurice
Michael Cage,Michael
Michael Curry,Michael
Michael Finley,Michael
Michael Jordan,Michael
Michael McDonald,Michael
Michael Smith,Michael
Michael Stewart,Michael
Micheal Williams,Micheal
Mitch Richmond,Mitch
Mitchell Butler,Mitchell
Monty Williams,Monty
Mookie Blaylock,Mookie
Muggsy Bogues,Muggsy
Nate McMillan,Nate
Nick Anderson,Nick
Nick Van Exel,Nick
Olden Polynice,Olden
Oliver Miller,Oliver
Othella Harrington,Othella
Otis Thorpe,Otis
P.J. Brown,P.J.
Patrick Ewing,Patrick
Pervis Ellison,Pervis
Pete Chilcutt,Pete
Pete Myers,Pete
Pooh Richardson,Pooh
Popeye Jones,Popeye
Priest Lauderdale,Priest
Randy Brown,Randy
Randy Livingston,Randy
Rasheed Wallace,Rasheed
Ray Allen,Ray
Reggie Geary,Reggie
Reggie Hanson,Reggie
Reggie Jordan,Reggie
Reggie Miller,Reggie
Reggie Slater,Reggie
Rex Chapman,Rex
Rex Walters,Rex
Rick Brunson,Rick
Rick Fox,Rick
Rick Mahorn,Rick
Ricky Pierce,Ricky
Rik Smits,Rik
Robert Horry,Robert
Robert Pack,Robert
Rod Strickland,Rod
Rodney Rogers,Rodney
Rodrick Rhodes,Rodrick
Ron Harper,Ron
Ron Mercer,Ron
Rony Seikaly,Rony
Roy Rogers,Roy
Rusty LaRue,Rusty
Sam Cassell,Sam
Sam Mack,Sam
Sam Mitchell,Sam
Sam Perkins,Sam
Samaki Walker,Samaki
Scot Pollard,Scot
Scott Brooks,Scott
Scott Burrell,Scott
Scott Williams,Scott
Scottie Pippen,Scottie
Sean Elliott,Sean
Sean Higgins,Sean
Sean Rooks,Sean
Shandon Anderson,Shandon
Shaquille O'Neal,Shaquille
Shareef Abdur-Rahim,Shareef
Sharone Wright,Sharone
Shawn Bradley,Shawn
Shawn Kemp,Shawn
Shawn Respert,Shawn
Shawnelle Scott,Shawnelle
Shea Seals,Shea
Sherman Douglas,Sherman
Spud Webb,Spud
Stacey Augmon,Stacey
Stanley Roberts,Stanley
Stephen Howard,Stephen
Stephon Marbury,Stephon
Steve Henson,Steve
Steve Kerr,Steve
Steve Nash,Steve
Steven Smith,Steven
Stojko Vrankovic,Stojko
Tariq Abdul-Wahad,Tariq
Terrell Brandon,Terrell
Terry Cummings,Terry
Terry Davis,Terry
Terry Dehere,Terry
Terry Mills,Terry
Terry Porter,Terry
Theo Ratliff,Theo
Tim Breaux,Tim
Tim Duncan,Tim
Tim Hardaway,Tim
Tim Kempton,Tim
Tim Legler,Tim
Tim Thomas,Tim
Todd Day,Todd
Todd Fuller,Todd
Tom Chambers,Tom
Tom Gugliotta,Tom
Tom Hammonds,Tom
Toni Kukoc,Toni
Tony Battie,Tony
Tony Delk,Tony
Tony Dumas,Tony
Tony Farmer,Tony
Tony Massenburg,Tony
Tony Smith,Tony
Tracy McGrady,Tracy
Tracy Murray,Tracy
Travis Best,Travis
Travis Knight,Travis
Travis Williams,Travis
Troy Hudson,Troy
Tyrone Corbin,Tyrone
Tyrone Hill,Tyrone
Tyus Edney,Tyus
Vernon Maxwell,Vernon
Vin Baker,Vin
Vincent Askew,Vincent
Vinny Del Negro,Vinny
Vitaly Potapenko,Vitaly
Vlade Divac,Vlade
Voshon Lenard,Voshon
Walt Williams,Walt
Walter McCarty,Walter
Wesley Person,Wesley
Will Perdue,Will
William Cunningham,William
Willie Burton,Willie
Xavier McDaniel,Xavier
Yinka Dare,Yinka
Zan Tabak,Zan
Zydrunas Ilgauskas,Zydrunas
A.C. Green,A.C.
