,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
366,55,MEM,Joffrey Lauvergne,,4,208,2823,1159,789,180,.479,.285,.719,13.6,5.6,3.8,0.9,5.2,.089,-2.1,-0.1
367,56,DET,Peyton Siva,Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-6.4,-0.2
368,57,PHO,Alex Oriakhi,Missouri,,,,,,,,,,,,,,,,,
369,58,SAS,Deshaun Thomas,Ohio State,,,,,,,,,,,,,,,,,
370,59,MIN,Bojan Dubljević,,,,,,,,,,,,,,,,,,
371,60,MEM,Jānis Timma,,,,,,,,,,,,,,,,,,
372,1,CLE,Andrew Wiggins,Kansas,8,560,19710,10921,2478,1297,.448,.348,.730,35.2,19.5,4.4,2.3,22.3,.054,-1.6,2.2
373,2,MIL,Jabari Parker,Duke,8,310,8535,4380,1703,610,.494,.326,.743,27.5,14.1,5.5,2.0,13.8,.078,-0.8,2.5
374,3,PHI,Joel Embiid,Kansas,6,287,8839,7180,3226,912,.485,.334,.808,30.8,25.0,11.2,3.2,35.8,.195,5.2,16.0
375,4,ORL,Aaron Gordon,Arizona,8,488,14013,6244,3062,1201,.455,.320,.696,28.7,12.8,6.3,2.5,26.0,.089,-0.1,6.7
376,5,UTA,Dante Exum,,6,245,4545,1389,441,515,.407,.305,.764,18.6,5.7,1.8,2.1,3.1,.032,-3.3,-1.5
377,6,BOS,Marcus Smart,Oklahoma State,8,486,14459,5006,1745,2101,.378,.318,.779,29.8,10.3,3.6,4.3,26.4,.088,-0.3,6.2
378,7,LAL,Julius Randle,Kentucky,8,484,14951,8484,4483,1658,.478,.337,.742,30.9,17.5,9.3,3.4,30.1,.097,0.4,8.8
379,8,SAC,Nik Stauskas,Michigan,6,337,6686,2283,691,514,.389,.354,.814,19.8,6.8,2.1,1.5,3.9,.028,-3.0,-1.7
380,9,CHH,Noah Vonleh,Indiana,7,339,5683,1660,1742,257,.459,.308,.691,16.8,4.9,5.1,0.8,9.2,.078,-2.4,-0.6
381,10,PHI,Elfrid Payton,Louisiana,8,471,13089,4965,1963,2809,.449,.288,.629,27.8,10.5,4.2,6.0,15.9,.058,-0.9,3.8
382,11,DEN,Doug McDermott,Creighton,8,502,10429,4565,1189,467,.477,.408,.820,20.8,9.1,2.4,0.9,18.6,.086,-1.8,0.5
383,12,ORL,Dario Šarić,,5,356,8965,4180,2086,699,.441,.357,.838,25.2,11.7,5.9,2.0,16.4,.088,-0.8,2.6
384,13,MIN,Zach LaVine,UCLA,8,446,14117,8747,1738,1702,.461,.388,.828,31.7,19.6,3.9,3.8,21.4,.073,0.4,8.5
385,14,PHO,T.J. Warren,NC State,7,332,9553,5142,1372,397,.507,.357,.780,28.8,15.5,4.1,1.2,19.6,.099,-0.2,4.2
386,15,ATL,Adreian Payne,Michigan State,4,107,1403,429,315,66,.406,.254,.680,13.1,4.0,2.9,0.6,-0.6,-.019,-5.9,-1.4
387,16,CHI,Jusuf Nurkić,,8,391,9183,4660,3265,841,.499,.217,.673,23.5,11.9,8.4,2.2,22.5,.118,0.6,5.9
388,17,BOS,James Young,Kentucky,4,95,812,219,96,28,.367,.277,.563,8.5,2.3,1.0,0.3,0.8,.046,-3.4,-0.3
389,18,PHO,Tyler Ennis,Syracuse,4,186,2336,779,250,359,.419,.317,.768,12.6,4.2,1.3,1.9,1.3,.026,-3.4,-0.8
390,19,CHI,Gary Harris,Michigan State,8,441,12739,5243,1120,921,.450,.360,.808,28.9,11.9,2.5,2.1,19.7,.074,-1.4,2.1
391,20,TOR,Bruno Caboclo,,7,105,1293,442,268,72,.403,.308,.836,12.3,4.2,2.6,0.7,1.5,.054,-2.7,-0.2
392,21,OKC,Mitch McGary,Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-2.6,-0.1
393,22,MEM,Jordan Adams,UCLA,2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,1.7,0.2
394,23,UTA,Rodney Hood,Duke,8,427,10770,4605,1143,723,.420,.365,.841,25.2,10.8,2.7,1.7,17.2,.077,-1.2,2.2
395,24,CHH,Shabazz Napier,UConn,6,345,5986,2433,657,849,.397,.345,.815,17.4,7.1,1.9,2.5,8.1,.065,-0.7,2.0
396,25,HOU,Clint Capela,,8,433,11640,5456,4616,425,.621,.000,.529,26.9,12.6,10.7,1.0,48.6,.201,2.0,11.7
397,26,MIA,P.J. Hairston,UNC,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
398,27,PHO,Bogdan Bogdanović,,5,279,7942,3866,930,944,.439,.386,.811,28.5,13.9,3.3,3.4,13.4,.081,0.1,4.2
399,28,LAC,C.J. Wilcox,Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-4.3,-0.2
400,29,OKC,Josh Huestis,Stanford,3,76,1068,187,180,23,.346,.312,.240,14.1,2.5,2.4,0.3,0.7,.030,-3.5,-0.4
401,30,SAS,Kyle Anderson,UCLA,8,470,9866,3126,2033,1075,.478,.336,.720,21.0,6.7,4.3,2.3,25.2,.123,1.7,9.3
404,31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-5.6,-0.1
405,32,PHI,K.J. McDaniels,Clemson,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-2.8,-0.4
