,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
671,50,IND,Alize Johnson,Missouri State,4,65,492,169,193,30,.500,.278,.737,7.6,2.6,3.0,0.5,1.4,.138,-1.6,0.1
672,51,NOP,Tony Carr,Penn State,,,,,,,,,,,,,,,,,
673,52,UTA,Vince Edwards,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
674,53,OKC,Devon Hall,Virginia,1,11,81,20,7,13,.200,.235,.500,7.4,1.8,0.6,1.2,-0.2,-.116,-6.4,-0.1
675,54,DAL,Shake Milton,SMU,4,148,3170,1560,349,387,.452,.365,.821,21.4,10.5,2.4,2.6,6.1,.093,-1.8,0.2
676,55,CHO,Arnoldas Kulboka,,1,1,3,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,-.038,-11.2,0.0
677,56,PHI,Ray Spalding,Louisville,2,16,167,58,52,5,.529,.000,.286,10.4,3.6,3.3,0.3,0.1,.024,-5.7,-0.2
678,57,OKC,Kevin Hervey,UT Arlington,1,10,52,17,12,5,.259,.150,,5.2,1.7,1.2,0.5,-0.1,-.085,-5.1,0.0
679,58,DEN,Thomas Welsh,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
680,59,PHO,George King,Colorado,1,1,6,0,1,0,,,,6.0,0.0,1.0,0.0,0.0,-.001,-7.9,0.0
681,60,PHI,Kostas Antetokounmpo,Dayton,3,22,87,21,23,3,.375,,.474,4.0,1.0,1.0,0.1,-0.2,-.098,-10.2,-0.2
682,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,.604,.333,.683,31.7,25.7,7.0,3.2,10.6,.189,4.6,4.5
683,2,MEM,Ja Morant,Murray State,3,149,4746,2855,617,1082,.465,.323,.754,31.9,19.2,4.1,7.3,9.1,.092,0.2,2.7
684,3,NYK,RJ Barrett,Duke,3,153,4999,2445,834,412,.421,.366,.690,32.7,16.0,5.5,2.7,4.1,.039,-2.7,-0.9
685,4,LAL,De'Andre Hunter,Virginia,3,97,3002,1241,426,163,.432,.352,.782,30.9,12.8,4.4,1.7,1.7,.028,-3.5,-1.2
